member_id,member_primary_name,member_location,member_country
32268,Al-Rafidain University College,"Baghdad / Hay Al-Mustansiriya, Iraq",Iraq
10375,University of Garmian,"Bardesur, Sulaimaniyah Province, Iraq",Iraq
29470,Al-Muthanna University,"As Samawah, Al-Muthanna Province, Iraq",Iraq
16201,Center for Future Studies,"Pak City, Al Sulaymaniah Governorate, Iraq",Iraq
16263,Charmo University,"Chamchamal Sulaimani, Kurdistan Region Iraq, Iraq",Iraq
29345,Kogi State University,"Anyigba, Kogi",Kogi
38725,University of Lomé,"Lome, Lome",Lome
36989,Meru University of Science and Technology,"Nchiru, Meru",Meru
4630,West Indian Medical Journal,Mona,Mona
30033,Glintplus Ltd,"Ijoko, Ogun",Ogun
30704,Aledari,Oman,Oman
29665,The International Applied Computing & Applications Publisher,"Sohar, Oman",Oman
34652,publish4student,"Sohar, Oman",Oman
7681,Sultan Qaboos University,"Muscat, Oman",Oman
35929,Gulf College,"Muscat, Oman",Oman
2907,Oman Medical Journal,"Muscat, North Azaiba, Oman",Oman
26872,Global Scientific Publications,"Sohar, Sultanate of Oman, Oman",Oman
39703,Olusegun Agagu University of Science and Technology,"Okitipupa, Ondo",Ondo
8656,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),"Ile-Ife, Osun",Osun
37459,The Nigerian Infectious Diseases Society,"Ile-Ife, Osun",Osun
20279,Facultad de Odontología de la Universidad Andina Néstor Cáceres Velásquez,Peru,Peru
22931,Universidad Nacional de Jaen,"Jaen, Peru",Peru
2654,Centro Internacional de la Papa,"Lima, Peru",Peru
4614,Centrum Catolica,"Lima, Peru",Peru
6075,"Universidad Nacional Mayor de San Marcos, Vicerectorado de Investigacion","Lima, Peru",Peru
7820,Asociacion Peruana de Reproduccion Animal,"Lima, Peru",Peru
8100,Sistema de Bibliotecas PUCP,"Lima, Peru",Peru
8130,Instituto Nacional de Defensa de la Competencia y la Propiedad Intelectual (INDECOPI),"Lima, Peru",Peru
8143,Universidad Peruana de Ciencias Aplicadas,"Lima, Peru",Peru
8385,Universidad Peruana Cayetano Heredia,"Lima, Peru",Peru
8943,Universidad Alas Peruanas S.A.,"Lima, Peru",Peru
9138,Universidad del Pacifico,"Lima, Peru",Peru
9157,Universidad Nacional Agraria la Molina,"Lima, Peru",Peru
9214,Universidad Nacional de Ingenieria,"Lima, Peru",Peru
10104,Instituto Peruano de Orientacion Psicologica - IPOPS,"Lima, Peru",Peru
10128,Universidad Nacional Federico Villarreal,"Lima, Peru",Peru
10978,Universidad de Lima,"Lima, Peru",Peru
12374,Universidad Nacional Mayor de San Marcos,"Lima, Peru",Peru
14868,Universidad Ricardo Palma,"Lima, Peru",Peru
15173,Universidad Inca Garcilaso de la Vega,"Lima, Peru",Peru
19301,Sociedad Peruana de Odontopediatria,"Lima, Peru",Peru
20100,Revista Peruana de Investigacion Educativa,"Lima, Peru",Peru
20602,Poder Judicial del Peru,"Lima, Peru",Peru
21937,Asociacion Peruana de Retorica,"Lima, Peru",Peru
22433,Universidad Norbert Wiener,"Lima, Peru",Peru
23232,Sociedad Materno Fetal,"Lima, Peru",Peru
23836,Sociedad Quimica del Peru,"Lima, Peru",Peru
24574,Archivo General de la Nacion - Peru,"Lima, Peru",Peru
25676,Instituto de Estudios Peruanos,"Lima, Peru",Peru
25737,Instituto de Estudios Politicos Andinos,"Lima, Peru",Peru
25856,Universidad ESAN,"Lima, Peru",Peru
26096,Academia Peruana de la Lengua,"Lima, Peru",Peru
26614,"Journal of the Academy, Asociacion de Universidades del Peru","Lima, Peru",Peru
26874,Instituto Geologico Minero y Metalurgico,"Lima, Peru",Peru
27807,Sociedad de Gastroenterologia del Peru,"Lima, Peru",Peru
28643,Biblioteca Nacional del Peru,"Lima, Peru",Peru
